人	人入
行鳥	鵆鸻
八人口鳥	鵒鹆
食巳廿八	饌馔
食木口	餗𫗧
食廿口丰	饉馑
食亠日一	饘𫗴
食日四又	饅馒
食亠八乂	餃饺
食土厶皿	饁馌
八厶习鳥	鶲鹟
金一艹刂	鉶铏
金一止	鉦钲
金一卜乚	鈣钙
金一丷丁	鎘镉
金工㇕口	鋙铻
金丰丰彐	鏏𬭬
金丰刀大	鍥锲
斤頁	頎颀
斤虎鳥	鷉䴘
金寸氵丶	銶𨱇
金艹一口	鎝𨱏
金艹日大	鏌镆
金艹田	錨锚
金艹冂大	鍈锳
金西示	鏢镖
金甫寸	鎛镈
金西日十	鐔镡
釆田鳥	鷭𬸪
金大丁口	錡锜
金七凵	鈍钝
金口一丂	鍔锷
金由	鈾铀
金甲	鉀钾
金日四又	鏝镘
金日匕匕	錕锟
金田心	鍶锶
金四口𧘇	鐶镮
金貝刂	鍘铡
金四勹虫	鐲镯
金廴丿士	鋌铤
金千艹二	錘锤
金𠂉木	銖铢
金亻㇕矢	鍭𬭤
金臼丨又	鎪锼
金人一口	鉿铪
金爪寸	鋝锊
金釆田	鐇𫔍
金匕匕白	鍇锴
金𠂊儿丶	鑱镵
金𠂊巴	銫铯
金氏刀田	鎦镏
金烏	鎢钨
金衣口甘	鑲镶
金亠冂口	鎬镐
金亠口子	錞𬭚
金立日心	鐿镱
金方𠂉矢	鏃镞
金亠八乂	鉸铰
金亠十口	鏑镝
金亠子攵	鐓镦
金亠厶儿	銃铳
金亠幺	鉉铉
金鹿灬	鑣镳
金广尹用	鏞镛
金丷酉寸	鐏𨱔
金䒑八皿	鎰镒
金米夕㐄	鏻𬭸
金半卩	錈锩
金䒑幺幺	鎡镃
爪見	覓觅
金宀豕	鎵镓
金宀大厶	鋐𬭎
金穴人口	鎔镕
金宀匕	鉈铊
金宀女	銨铵
金彐丨	鈕钮
金癶口䒑	鐙镫
金又八口	鐍𫔎
金彐冖又	鋟锓
金阝丁口	錒锕
金乙	釔钇
金巴	鈀钯
金弓口虫	鏹镪
金习人彡	鏐镠
舟鳥	鵃鸼
金巛乂巛	鑞镴
風卜口	颭飐
風田心	颸飔
犭王鳥	鵟𫛭
犭木𠂊貝	獺獭
月牛儿貝	臢臜
犭言犬鳥	鸑𬸚
魚士䒑口	鱚𬶮
魚西示	鰾鳔
魚木四	鰊𬶠
𠂊厂卩頁	頠𬱟
氏丶田鳥	鶹鹠
氏丶鳥	鴟鸱
魚七凵	魨鲀
魚口一丂	鰐鳄
魚日一止	鯷鳀
魚日口䒑	鱧鳢
魚𠂉卜	鮓鲊
魚夗示	鰶𬶭
魚𠂊厂卩	鮠𬶏
魚𠂊口儿	鮸𩾃
匕水頁	潁颍
匕火頁	熲颎
魚亠口小	鯨鲸
魚亠日一	鱣鳣
魚亠八乂	鮫鲛
魚广尹氵	鱇𩾌
魚䒑刂八	鰜鳒
魚儿氵	鮡𬶐
魚宀匕	鮀𬶍
魚宀女	鮟𩽾
魚又用	鯒鲬
勹口鳥	鴝鸲
魚习习白	鰼鳛
烏阝	鄔邬
魚厶大彡	鯵鲹
魚巛田	鯔鲻
魚巛乂巛	鱲𫚭
鳥衣	裊袅
言一十	訐讦
言一止	証证
言廿口丰	謹谨
言艹日大	謨谟
言車心	譓𬤝
言戊一口	諴𫍯
亠圍一鳥	鸇鹯
言口一丂	諤谔
亠口尤鳥	鷲鹫
亠口甲一	嚲亸
亠口子鳥	鶉鹑
言日一止	諟𬤊
言日人乚	謁谒
言𠂉卜	詐诈
言牛儿	詵诜
言𠂉乙	訖讫
言禾女	諉诿
言身寸	謝谢
言臼人	諛谀
言亻匕	訛讹
言臼丨又	謏𫍲
文一止貝	贇赟
亠八乂鳥	鵁䴔
言人㇕心	諗谂
言八厶	訟讼
言爪大又	諼谖
言𠂊八言	譫谵
言亠口子	諄谆
言亠人十	誶谇
言亠十口	謫谪
言門木四	讕谰
立日工貝	贛赣贑
言䒑业日	譜谱
立日貝心	戇戆
言户冂艹	諞谝
言心丿皿	謐谧
言㇕止月	諝谞
言又八口	譎谲
方𠂉矢鳥	鷟𬸦
言习人彡	謬谬
言习习	詡诩
言凵山	詘诎
疒十八頁	癲癫
广彐人貝	賡赓
广彐人鳥	鶊鹒
广金欠	廞𫷷
广廿灬鳥	鷓鹧
門者	闍阇
門西土	闉𬮱
門目犬	闃阒
門大厶	閎闳
門口口	閭闾
門十且八	闐阗
疒貝貝女	癭瘿
門自木	闑𫔶
門方人冫	閼阏
門夂口	閣阁
門氏日	閽阍
門文	閔闵
門丶艮	閬阆
門日习习	闒阘
門土厶皿	闔阖
門䒑凵欠	闕阙
䒑八皿鳥	鷁鹢
䒑彐八鳥	鶼鹣
䒑幺幺鳥	鶿鹚
忄中一貝	憒愦
忄貝刂	惻恻
氵十艹貝	濆𣸣
氵木𠂊貝	瀨濑
氵止小頁	瀕濒
氵中一貝	潰溃
氵日小頁	灝灏
氵小丿魚	鯊鲨
氵人月鳥	鶺鹡
儿氵頁	頫𫖯
氵言𠂉十	滸浒
氵文川	済济
氵又丨頁	澦滪
土冖豕	塚塚
宀甘八鳥	鶱𬸣
穴鳥	窵窎
衤門木四	襴襕
衤之車	褳裢
衤冖車	褌裈
冖車皮	皸皲
冖車阝	鄆郓
冖儿鳥	鴆鸩
門木鳥	鷴鹇
馬西示	驃骠
馬雨木目	驦骦
馬不一	駓𬳵
馬厂白小	騵𫘪
馬日一止	騠𫘨
馬日	馹驲
尹口頁	頵𫖳
尸貝	屓屃
馬牛儿	駪𬳽
尸鳥	鳲鸤
尸口辛鳥	鸊鷿䴙
馬亻寸	駙驸
馬人禾	駼𬳿
艮七儿魚	鱀𬶨
馬爪幺大	騱𫘬
馬勹牛山	騊𫘦
又又木頁	顙颡
又㇕口鳥	鷸鹬
又㇕攵鳥	鶩鹜
又㇕攵馬	騖骛
馬米夕㐄	驎𬴊
馬癶一大	騤骙
馬㇕大	駃𫘝
馬彐水	騄𫘧
馬又丶虫	騷骚
馬彐冖又	駸骎
阝大月土	堕墮
阝止小馬	騭骘
阝中一貝	隤𬯎
阝口貝	隕陨
习习彡鳥	鷚鹨
习习冖車	翬翚
絲亞日	縉缙
絲一日乂	綆绠
絲士口頁	纈缬
絲十且八	縝缜
