的	白勺
羛	羊弓八
粭	米亼口
熰	火匚三口
焍	火八弓丨丿
襒	衤巾⺍攴
隺	冂隹
緅	糸耳又
螿	爿肉寸虫
牄	爿倉
緪	糸心二月
坥	土且
馵	馬廾
搳	扌宀丰口
蘴	艸丰丰山豆
蔜	艸敖
芇	艸巾
萴	艸貝刀
枺	木末
杝	木也
蛅	虫卜口
蝝	虫彑豕
暡	日公羽
狊	目犬
罼	四畢
籗	竹雨隹
饎	食十豆口
鈌	金夬
臄	月虎豕
謰	言辵車
詙	言犬㇕
謱	言婁
愅	心革
怴	心戉
渨	水田衤
淭	水戶木
顤	堯頁
剺	未攴厂刀
趬	走堯
豰	士冂一豕殳
驔	馬西日十
騱	馬爪幺大
珕	王三力
兝	克分
鞈	革亼口
飌	艸口口隹風
蒭	艸勹屮勹屮
豵	豕行从止
蟦	虫屮貝
蚞	虫木
蛦	虫大弓
蜪	虫勹缶
蟉	虫羽人彡
蹎	足真
噮	口四一口衤
嗺	口山隹
曮	日口口厂敢
罭	四戈口一
岏	山一兀
崵	山昜
睮	目亼月刀
籈	竹西土瓦
鄅	禹阝
笰	竹弓八
籊	竹羽隹
佒	人冂大
貆	豸二日
媻	舟殳女
鄐	亠幺田阝
鶶	广尹口鳥
廥	广會
糂	米甘匚八
愃	心宀二日
慅	心又丶虫
澽	水虎豕
淟	水冊廾
濵	水宀尸貝
鶣	戶冊鳥
禒	示彑豕
裶	衤非
袀	衤勹冫
扻	扌欠
槥	木丰丰彐
檥	木羊我
蝍	虫艮卩
哤	口𠂇彡
睊	目口月
矌	目广黃
筀	竹土土
鏙	金山隹
錎	金𠂊臼
腲	月田衤
膲	月隹火
肒	月丮
鄾	頁心夂阝
坱	土冂大
塯	土卯田
髶	長彡耳
黈	黃主
鞺	革尚土
蕇	艸口口甲一
菙	艸垂
菕	艸亼冊
梂	木求
梐	木比土
雺	雨矛
蝿	虫黽
蚥	虫父
昒	日勿
鄨	巾⺍攴口巴
眃	目云
幧	巾三口木
罻	四尸示寸
鷽	臼爻冂鳥
鄇	人龴矢阝
衠	行真
瓻	乂𠂇巾瓦
猳	犬叚
斒	文戶冊
麚	鹿叚
羬	羊戌口
燵	火辵土羊
恌	心兆
淊	水𠂊臼
袉	衤它
褄	衤一尹女
隲	阝少馬
睯	民攴目
嫥	女專
妐	女公
撽	扌白方攴
杶	木屯
椳	木田衤
樏	木田糸
枆	木毛
鷐	日辰鳥
昈	日戶
眓	目戉
罬	四叕
胹	月而
鸃	鳥羊我
鱦	魚黽
痑	疒多
鄳	黽阝
塕	土公羽
塉	土⺍人月
嗀	士冂一口殳
憃	廾臼心
駴	馬戈廾
捵	扌冊廾
摿	扌人立日
蘁	艸王四口
鞜	革水日
葧	艸十冂子力
虌	艸巾⺍攴黽
藡	艸辵帝口
鸏	艸宀一豕鳥
輤	車青
軮	車冂大
楰	木臼人
鶆	來鳥
奝	大用口
鵊	大从鳥
礭	石雨隹
蟨	厂屰欠虫
蟢	虫十豆口
蟃	虫日四又
齘	齒介
蝷	虫广屰
蠽	小隹戈虫虫
幎	巾冂日宀
峚	山大土
峗	山𠂊厂卩
雟	屮隹内口
箆	竹内比
筤	竹良
簶	竹示彑
獂	犬厂白小
糎	米厂里
籾	米刀丶
謍	火火冂言
寠	宀婁
穾	穴丿大
祋	示殳
褼	衤西大巳
裮	衤昌
袡	衤冄
鄍	冂日宀阝
舝	㐄巛冂厶㐄
勠	羽人彡力
蛃	虫丙
踳	足廾日
昤	日令
麁	𠂊鹿
絭	龹糸
懧	心宀心皿丁
邔	己阝
攕	扌从戈韭
拲	艸廾手
蘦	艸雨口口口
蘻	艸車凵殳糸
蘙	艸匚矢殳羽
蒏	艸冂酉
酘	酉殳
罊	車凵殳缶
轐	車业大
輆	車亥
樴	木立日戈
霩	雨京子阝
厬	厂日夂卜口
豜	豕一廾
跲	足亼口
踒	足禾女
畖	田瓜
冔	冃口丁一
矂	目三口木
鴸	朱鳥
穐	禾龜
籏	竹㫃其
鶂	臼儿鳥
甈	自木瓦
觟	角土土
凓	冫西木
湠	水山𠂇火
潝	水亼口羽
韛	㐄口㐄𤰇
鶸	弓冫弓冫鳥
綧	糸京子
圢	土丁
茙	艸戈𠂇
碫	石厂三殳
唒	口酉
徲	行尸水牛
鑮	金艸水甫寸
釸	金夕
獑	犬車斤
悐	犬火心
鄡	鳥木阝
觬	角臼儿
怚	心且
垒	三厶土
鳱	干鳥
趭	走隹火
擶	扌竹䒑月刀
韅	革日幺幺火
蔈	艸西示
蕛	艸禾八弓丨丿
毄	車口殳
柹	木𠂔
梌	木余
麬	來夂皮
砿	石广厶
蠮	虫匚矢殳羽
剻	山朋刀
骫	骨丮
睕	目宀夕卩
篕	竹去皿
鵹	禾丿刀鳥
敿	丿大口冂口攴
毨	毛先
簓	竹用口彡
伻	人干八
儢	人虎田心
豻	豸干
褹	衤土八土丮
膉	月水皿
詄	言失
袲	衣多
庪	广扌十又
廏	广白匕殳
麆	鹿且
烰	火爪子
懫	心斤斤貝
懻	心北田艸廾
瀫	水士冂一糸殳
滱	水宀一兀攴
寙	宀瓜瓜
襩	衤士四貝
皹	皮冂車
螱	尸示寸虫
鶋	尸古鳥
隓	阝𠂇工𠂇工
頨	羽頁
鶨	彑豕鳥
醙	酉申又
蠳	虫貝貝女
螰	虫鹿
眲	目耳
簝	竹一火日小
餟	食叕
鯺	魚者
湱	水丰石
赨	赤虫
埓	土爪寸
壛	土門𠂊臼
郰	耳又阝
刌	寸刀
撜	扌癶豆
蓲	艸匚三口
醳	酉四幸
醷	酉立日心
檡	木四幸
楺	木矛木
碅	石圍禾
韰	歹又韭
蝺	虫禹
螑	虫自犬
黤	黑大申
峬	山甫
剬	山而刀
瞲	目矛内口
垼	行殳土
鋺	金宀夕卩
峱	犬丑山
獽	犬衣口口甘
魧	魚亢
譠	言亠回日一
韏	龹㐄口㐄
煃	火大土土
煁	火甘匚八
濣	水十日十人斗
溰	水山豆
宎	宀丿大
祑	示失
裖	衤辰
襭	衤士口頁
堲	艮卩土
嬽	女四丨一四乚大
琟	王隹
撊	扌門月
硱	石圍木
幩	巾屮貝
觕	牛角
鯦	魚夂卜口
譀	言敢
恲	心并
阺	阝氏丶
螜	士冂一殳虫
墱	土癶豆
髬	長彡不一
鬎	長彡束刀
鬖	長彡三厶人彡
摦	扌大一丂瓜
蘵	艸耳立日戈
樝	木虎且
轙	車羊我
甝	虎甘
蝚	虫矛木
嚾	口艸口口隹
躩	足目目隹又
躈	足白方攴
嚃	口辵四水
哅	口勹乂凵
獘	巾⺍攴犬
瞚	目寅
劗	先先貝刀
篧	竹冂隹
狜	犬古
顈	匕糸頁
蠯	广卑虫虫
熿	火黃
忰	心九十
漊	水婁
汳	水反
灛	水門口口甲一
甂	戶冊瓦
窢	穴戈口一
飁	羽白風
羾	羽工
鄛	巛果阝
縪	糸畢
纗	糸山隹内口
妵	女主
嬥	女羽隹
瓵	厶口瓦
硩	扌斤石
硈	石士口
磼	石隹木
咠	口耳
噆	口旡旡日
鳻	分鳥
臅	月四勹虫
鞷	鬲革
赮	赤叚
鬫	鬥敢
鬕	長彡艸日大
攡	扌亠乂凵禸隹
鷏	真鳥
鞆	革丙
茣	艸吳
蘥	艸龠
蕧	艸行𠂉日夂
藭	艸穴身弓
櫡	木竹者
棜	木於
檖	木辵八豕
蚹	虫人寸
趷	足乞
甹	由丂
鸓	三田鳥
毟	少毛
歂	山而欠
犈	牛龹卩
傽	人立日十
徿	行龍
鷭	釆田鳥
狋	犬示
肐	月乞
鯏	魚禾刀
鰝	魚京口
甋	帝口瓦
庴	广廿日
麎	鹿辰
憉	心十豆彡
潀	水四从
溌	水癶二儿
裋	衤豆
隇	阝戌女
隑	阝山豆
緆	糸日勿
嫷	女阝𠂇工月
縃	糸疋月
玿	王刀口
捼	扌禾女
挩	扌公儿
砎	石介
齫	齒圍木
穧	禾齊
鸔	鳥日艸廾水
鮹	魚小月
渹	水勹言
鳺	夫鳥
鼜	十豆十又又丶虫
趜	走勹米
駤	馬至
駽	馬口月
薽	艸西土瓦
荾	艸厶八夂
榙	木艸亼口
軵	車人寸
椶	木乂凵八夂
鶠	匚日女鳥
黳	匚矢殳黑
蜌	虫比土
曋	日西日十
矐	目雨隹
幝	巾口口甲一
帗	巾犬㇕
嶀	山雨一丂
馧	香日皿
齀	鼻瓦
鰴	行山一魚攴
饡	食先先貝
艓	舟世木
羭	羊亼月刀
覮	火火冂見
澅	水尹二田一
窱	穴人丨夂木
禭	示辵八豕
闑	門自木
褽	尸示寸衣
鵽	叕鳥
鄪	弓八貝阝
嬐	女亼口口从
櫋	木自穴方
蛌	虫瓜
蟂	虫鳥木
螏	虫疒矢
徾	行山言攴
豍	豆卑
鴶	士口鳥
駓	馬不一
鞹	革京子阝
蒪	艸甫寸
薧	艸京歹匕
蕄	艸門心
枎	木夫
醼	酉燕
輚	車戔
轑	車一火日小
霋	雨一尹女
礣	石艸四戈人
豤	豕艮
嚔	口十冂田厶止
跰	足并
啽	口亼口廾
晪	日冊廾
黖	黑旡
篶	竹正烏
鄋	申又阝
鸄	白方攴鳥
鵆	行鳥
艕	舟亠八冂方
鱏	魚西日十
庬	广𠂇彡
癪	疒禾丰貝
翷	米舛羽
煝	火眉
澞	水虎吳
襫	衤大百百
顐	冂車頁
敪	叕攴
翑	羽勹口
緰	糸亼月刀
坁	土氏
嚍	口尹一火皿
杗	亡木
懭	心广黃
鄑	晉阝
璬	王白方攴
馲	馬丿七
駖	馬令
憼	艸勹口攴心
檪	木白⺍木
椔	木巛田
磃	石𠂆虎
碯	石巛囟
畭	田余
譻	貝貝言
髐	骨堯
髊	骨羊工
稘	禾其
秎	禾分
鷑	竹立鳥
錣	金叕
狑	犬令
甔	𠂊厂言瓦
斪	勹口斤
諈	言垂
憛	心西日十
顲	火火亠回頁
憰	心矛内口
滜	水白大十
祳	示辰
襹	衤麗
鸐	羽隹鳥
軬	厶大車
蜤	木斤虫
蝐	虫冃目
鴅	丹鳥
鱐	魚尹𣶒
翜	羽大从
殟	歹日皿
鼘	十豆十又𣶒
鼀	土八黽
瞉	士冂一目殳
鬠	長彡會
髼	長彡夂丰
蛪	丰刀虫
撠	扌十日十戈
蓩	艸矛夂力
葌	艸三女
磩	石戌卜小
鬵	旡旡鬲
隿	弋隹
齞	齒口八
蠩	虫言者
螛	虫宀丰口
跙	足且
嚵	口象比象儿丶
晇	日大一丂
睅	目日干
奰	三四大
穛	禾隹火
稯	禾乂凵八夂
餝	食艸方
鏏	金丰丰彐
鵃	舟鳥
劖	象比象儿丶刀
鸗	龍鳥
羠	羊大弓
糷	米艸門柬
燖	火彐工口寸
焆	火口月
烑	火兆
惼	心戶冊
糪	尸口辛米
陭	阝大丁口
繉	糸目兆
媆	女而大
挏	扌同
鵛	巠鳥
胉	月白
鮅	魚必
墆	土帶
趏	走舌
鞻	革婁
荅	艸亼口
橭	木古辛
桋	木大弓
軶	車戶乙
蜳	虫京子
跮	足至
遻	辵口口屰
畽	田千田土
黕	黑冂儿
峌	山至
崺	山方也
眝	目宀丁
篏	竹甘欠
秅	禾丿七
簔	竹衣二艸
篣	竹亠八冂方
鼮	臼釆廴千土
皫	白鹿火
鄎	自心阝
餢	食立口
鎭	金真
鶢	爪二丿又鳥
艛	舟婁
衁	亡血
帣	龹巾
羜	羊宀丁
瀴	水貝貝女
翐	羽失
刜	弓八刀
圲	土千
耴	耳乚
揘	扌白王
掽	扌並
磛	車斤石
楎	木冂車
蚼	虫勹口
号	口丂
簂	竹圍戈口一
馣	香大申
仜	人工
鮿	魚耳乚
邟	亢阝
矕	䜌目
颪	下風
殦	歹鳥
鼛	十豆十又夂卜口
墋	土三厶人彡
蛬	艸廾虫
酀	燕阝
蔧	艸丰丰彐
靪	革丁
莌	艸公儿
蒮	艸冂隹
榬	木土口衤
橲	木十豆口
櫼	木从戈韭
栚	木䒑大
蝡	虫而大
豦	虎豕
齱	齒耳又
螪	虫亠八内口
欭	圍大欠
躖	足四幺匕
噞	口亼口口从
毼	日勹亡毛
籉	竹士口冂至
簼	竹扌甘冄
鑓	金辵中一㠯
豽	豸内
飉	風一火日小
獀	犬申又
觰	角者
觩	角求
譑	言丿大口冂口
艵	并𠂊巴
慔	心艸日大
熕	火工貝
熚	火畢
鴬	⺍冂鳥
寉	宀隹
裧	衤火火
弣	弓人寸
扑	扌卜
霮	雨水甘匚八
蚻	木乚虫
蛖	虫𠂇彡
蛢	虫并
膹	月屮貝
鰿	魚丰貝
魾	魚不一
誫	言辰
聈	耳幺力
鬊	長彡廾日
鬤	長彡衣口口甘
抏	扌一兀
攍	扌贏女
藀	艸火火冂火
櫰	木衣四水
厒	厂缶
蛚	虫歹刀
辴	口口甲一辰
稒	禾圍古
鼳	臼釆目犬
齃	鼻日勹亡
貛	豸艸口口隹
謥	言囪心
痸	疒牛巾刀
郱	并阝
羵	羊屮貝
麊	米鹿
窙	穴耂子
陎	阝朱
嬎	女象儿生
摍	扌宀人百
鏬	金虎爪丁
涾	水水日
騺	幸丮馬
鼁	去黽
鬌	長彡𠂇工月
驖	馬十戈口王
捘	扌厶八夂
荳	艸豆
兣	克厂里
蘉	艸四冂人彐冂又
藫	艸水西日十
藬	艸阝中一貝
梬	木由丂
礥	石臣又貝
螐	虫烏
蜧	虫戶犬
踸	足甘匚八
跜	足尸匕
唈	口口巴
喢	口千臼
斀	四勹虫攴
嶚	山一火日小
躽	身匚日女
軈	身广人隹心
偋	人尸并
舮	舟戶
浲	水夂丰
竁	穴三毛
氄	矛内口毛
彋	弓四一口衤
媰	女勹屮勹屮
纐	糸文八頁
葞	艸弓耳
鷒	專鳥
朻	木丩
覝	干火見
坅	土今
擉	扌四勹虫
郣	十冂子阝
蘣	艸黃主
櫅	木齊
樔	木巛果
蠝	虫三田
蚢	虫亢
毾	日羽毛
崨	山一彐止
舕	舌火火
僓	人中一貝
譥	白方攴言
敆	亼口攴
銲	金日干
鋊	金谷
臕	月鹿火
訰	言屯
怲	心丙
烻	火廴丿止
袕	衤穴
蟴	其斤虫
篻	竹西示
鮛	魚上小
觻	角白幺幺木
濜	水尹一火皿
紖	糸弓丨
麉	干干鹿
虣	戈止虎
鬁	長彡禾刀
駾	馬公儿
騢	馬叚
蘜	艸革勹米
蔖	艸虎且
藑	艸𠂊内目夂
蔒	艸尹口火
蒘	艸女口手
磤	石身殳
蛂	虫犬㇕
螇	虫爪幺大
嚊	口鼻
巆	山火火冂呂
巀	山小隹戈
嵣	山广尹口
嶭	山㠯辛
眣	目失
儥	人士四貝
狘	犬戉
獧	犬四一口衤
竘	立勹口
黂	麻屮貝
羺	羊雨而
烓	火土土
灟	水尸水四勹虫
阠	阝乙十
虋	艸臼同冂酉分
杢	木工
蚫	虫勹巳
嵱	山穴公
刱	井刀八
槷	土八土丮木
搹	扌鬲
攇	扌宀丰四心
麶	來夂亠乂凵禸
磪	石山隹
蜠	虫圍禾
蜁	虫𠂉疋
馦	香兼
筡	竹余
觡	角夂口
駂	匕十馬
濴	水火火冂水
鳵	乙十鳥
螴	阝東虫
葋	王艸王勹口
柖	木刀口
趹	足夬
嶜	山旡旡日
矏	目自穴方
顉	金頁
鮴	魚人木
謯	言虎且
熉	火口貝
蟗	一中冂出虫
趪	走黃
髱	長彡勹巳
揨	扌京丁
鼖	屮十豆十又
蕵	艸夕食
萒	艸亠公儿
醗	酉癶二儿
蜲	虫禾女
蟤	虫巳巳艸廾
嘾	口西日十
踃	足小月
稫	禾畐
觷	臼爻冂角
鼥	臼釆犬㇕
鼤	臼釆文
跾	人丨攴足
鳹	今鳥
瓫	分瓦
逓	辵𠂆二巾
胅	月失
庰	广并
炌	火介
灗	水虫亠回日一
鶌	尸出鳥
橉	木米舛
飺	止匕食
鱁	魚辵豕
鰫	魚穴公
圫	土丿七
鵱	土八土鳥
鬗	長彡廿内内
觢	丰刀角
兞	克毛
鞊	革士口
榰	木耂日
栜	木朿
螹	虫車斤
齥	齒申丿
囆	口萬虫
躨	足八頁止巳夂
嗋	口三力月
嶱	山艸日勹亡
睔	目亼冊
聟	矢口耳
鷮	丿大口冂口鳥
鼣	臼釆犬
傮	人一曲日
皏	白并
鵗	乂𠂇巾鳥
瞂	盾犬㇕
瓝	瓜勺
猏	犬戶月
臇	月隹弓
鷷	八酉寸鳥
恞	心大弓
涆	水日干
褅	衤帝
顄	了⺍凵頁
鳭	刀鳥
翨	羽是
跇	足世
甖	貝貝瓦
嶬	山羊我
鼲	臼釆冂車
飶	食必
鱞	魚四一口衤
痯	疒宀㠯
趓	走几木
驨	馬山隹内口
摏	扌廾臼
韇	革士四貝
茦	艸朿
鷋	艸余鳥
萲	艸爪二丿又
醥	酉西示
軯	車干八
輷	車勹言
蜬	虫了⺍凵
踥	足立女
鄵	三口木阝
睼	目是
嶟	山八酉寸
眑	目幺力
揫	禾火手
筄	竹兆
僁	人釆心
貜	豸目目隹又
猣	犬乂凵八夂
鱢	魚三口木
頯	肉廾頁
謞	言京口
竏	立千
麜	鹿西木
麔	鹿夂卜口
顅	戶月頁
裷	衤龹卩
鵋	己心鳥
婟	女圍古
茥	艸土土
矹	石兀
汆	人水
膆	月丰糸
憴	心黽
欯	士口欠
塓	土冂日宀
聇	耳正
馽	馬中
醹	酉雨而
蚲	虫干八
蜐	虫去力
蟘	虫人弋貝
蜦	虫亼冊
矔	目艸口口隹
幭	巾艸四戈人
嵷	山行从止
峉	山夂口
嶡	山厂屰欠
毰	毛立口
傚	人文八攴
屔	丘尸匕
朡	月乂凵八夂
鷛	广尹用鳥
瀔	水士冂一禾殳
渳	水弓耳
覕	必見
嬓	女白方攴
垘	土人犬
蝁	亞虫
梇	木王廾
鄟	專阝
痝	疒𠂇彡
殱	歹十戈韭
鶈	一尹女鳥
邞	夫阝
趥	走八酉
镺	長丿大
駍	馬干八
驠	馬燕
搚	扌三力月
歕	屮貝欠
蒬	艸冂象儿丶
鷘	束攴鳥
楾	木白水
槉	木疒矢
齴	齒立厂彡
蝬	虫乂凵八夂
蝑	虫疋月
嘕	口正烏
謈	日艸廾言
鷜	婁鳥
嵑	山日勹亡
岤	山穴
峐	山亥
鴔	丿之鳥
鎒	金辰寸
觤	角𠂊厂卩
觙	角及
誙	言巠
鶙	帝鳥
塺	麻土
庱	广土八夂
懤	心士㇕工一口寸
糔	米又丶虫
煔	火火卜口
瀖	水雨隹
祒	示刀口
蠿	四幺匕虫虫
隤	阝中一貝
糱	屮㠯辛米
玤	王丰
枦	木戶
蜙	虫木公
釼	金刀丶
颬	風牙
戃	心尚黑
寋	宀甘八卩
轖	車土从
檹	木㫃大丁口
鴮	大一丂鳥
矺	石丿七
匷	匚目目隹
刞	且刀
眱	目大弓
龤	龠比白
艪	舟魚日
臐	月千四土火
膱	月立日戈
惾	心乂凵八夂
灖	水麻非
鼊	尸口辛黽
弴	弓京子
彏	弓目目隹又
蜄	虫辰
鴩	失鳥
蛗	㠯虫
兛	克千
韄	革艸隹又
蒫	艸羊工
轈	車巛果
裻	上小又衣
螔	虫𠂆虎
噊	口矛内口
雂	今隹
躗	行㐄口㐄足
鐀	金中一貝
鵌	鳥余
殶	主殳
麡	鹿齊
醟	火火冂酉
濭	水艸去皿
濦	水爪工彐心
襷	衤臼牙廾手
朾	木丁
餪	食而大
怬	心四
蒆	艸工凡女
鞃	革弓厶
菣	艸臣又
蔩	艸寅
葈	艸厶口木
蛷	虫求
蚙	虫今
嘝	口角斗
岯	山不一
缿	缶𠂆口
斔	文虫臼人
剆	良刀
旞	㫃辵八豕
熐	火冂日宀
郼	㐄口㐄阝
憵	尸口辛心
顟	羽人彡頁
縜	糸口貝
鴢	幺力鳥
攗	扌鹿米
柫	木弓八
踕	足一彐止
嘳	口中一貝
趀	走𠂔
珱	王⺍女
藣	艸四厶月比
欘	木尸水四勹虫
袃	七刀衣
螶	巨虫虫
顪	止戌㐄頁
齺	齒勹屮勹屮
翢	用口羽
峷	山辛
岮	山它
爂	臼同冂火
豼	豸比
鰖	魚𠂇工月
毈	卯冫厂三殳
觓	角丩
鷾	立日心鳥
罋	亠阝隹缶
觠	龹角
襳	衤从戈韭
赶	走干
蜸	臣又虫
饙	食屮貝
鎎	金气米
獛	犬业大
謕	言𠂆虎
鞂	革禾
藗	艸辵束欠
鷣	西日十鳥
鷢	厂屰欠鳥
蝛	虫戌女
蝹	虫日皿
鷤	口口甲一鳥
揱	小月刀手
昲	日弓八
遾	辵竹工从
筺	竹匚玉
鼺	臼釆三田
斞	臼人斗
谾	谷穴工
膟	月亠幺⺍十
烶	火廴千土
韟	㐄口㐄白大十
瞇	目辵米
槃	舟殳木
蓾	艸鹵
藃	艸京口欠
鷅	西木鳥
霵	雨口耳戈
蟔	虫黑
蠷	虫目目隹
齻	齒真
贆	貝三犬
髍	骨麻
顝	骨頁
刉	乞刀
衈	血耳
譇	言大者
黀	麻耳又
麠	鹿三田田
瀢	水辵中一貝
漇	水行止止
鶟	穴犬鳥
屖	尸辛
苬	艸圍人
駷	馬束
裚	扌斤衣
轛	車业土寸
蠜	爻木木大虫
礝	石雨而
豟	豕戶乙
砨	石戶乙
欳	卜冊欠
顋	田心頁
峅	山厶廾
鼭	臼釆土寸
倇	人宀夕卩
鵵	象儿丶鳥
螷	广卑虫
襓	衤堯
幦	尸口辛巾
鶅	巛田鳥
鴘	厶廾鳥
蝫	虫者
曭	日尚黑
簢	竹門文
艀	舟爪子
瀩	水禾几頁
祐	示𠂇口
馯	馬干
騥	馬矛木
揯	扌心二月
薂	艸白方攴
遳	辵艸从土
轚	車凵殳車
欈	木山隹内口
橳	木朕力
虪	虎人丨攴黑
蝭	虫是
蝖	虫宀二日
躤	足艸耒廿日
氁	毛艸日大
貏	豸卑
魻	魚甲
浶	水宀牛
祪	示𠂊厂卩
鉹	金多
譋	言門月
雈	艸隹
燅	土八土火火
騹	馬堇
攌	扌圍四一口衤
菞	艸禾丿刀
橨	木屮貝
榽	木爪幺大
骿	骨并
齂	鼻尹⺍
鶞	盾鳥
貗	豸婁
讄	言三田
旝	㫃會
瀱	水四厂火火刀
鄈	癶天阝
蝞	虫眉
饇	食匚三口
戄	心目目隹又
孷	未攴厂子
焣	耳又火
驈	馬矛内口
蘳	艸黃土土
蕱	艸禾小月
楈	木疋月
跠	足大弓
暆	日㫃也
黭	黑亼口廾
螸	谷欠虫
貄	豸尹二
貀	豸出
鱹	魚艸口口隹
觲	角羊牛
頝	文八頁
廜	广尸者
窑	穴缶
弤	弓氏丶
鉠	金冂大
鮵	魚公儿
騴	馬日宀女
擨	扌𠂆虎欠
攐	扌宀甘八衣
橶	木十日十戈
鵫	卜日十鳥
岟	山冂大
犣	牛巛囟釆
穙	禾业大
鵴	勹米鳥
謒	言倉
麙	鹿戌口
毲	叕毛
蚸	虫斥
殥	歹寅
皾	士四貝皮
镽	長一火日小
驆	馬畢
萰	艸柬
蓌	艸从土夂
榹	木𠂆虎
蹥	足辵車
簎	竹扌廿日
謘	言尸辛
袬	衣厶口
糫	米四一口衤
籸	米乙十
韕	㐄口㐄京子
縚	糸爪臼
鳿	王鳥
歋	𠂆虎欠
諚	言宀正
紎	糸犬
絼	糸豸
螼	虫堇
歶	止匕禺
蠌	虫四幸
嚽	口敖貝
踓	足隹
簅	竹立厂生
鼨	臼釆夂冫
衒	行亠幺
鱶	魚羊食
譣	言亼口口从
韲	齊韭
鵧	并鳥
甐	米舛瓦
裍	衤圍木
緧	糸八酉
蜵	虫𣶒
鸍	爾鳥
瓋	王辵帝口
豱	豕日皿
顊	㠯十頁
鷎	白大十鳥
鸙	龠鳥
餯	食彑豕
鮬	魚大一丂
譨	言曲辰
濻	水阝中一貝
鴾	厶牛鳥
听	口斤
柠	木宀丁
賟	貝冊廾
猬	犬田月
猎	犬廿日
疴	疒丁口
凄	冫一尹女
疱	疒勹巳
遡	辵屰月
糇	米人龴矢
攳	十又彐工口寸
蘌	艸行午止卩示
虃	艸水从戈韭
椁	木京子
蟙	虫立日戈
郹	目犬阝
毤	公儿毛
貁	豸穴
猑	犬日比
鶛	比白鳥
竀	穴正見
蛝	虫艮
貕	豸爪幺大
魱	魚互
鮤	歹刀魚
鬞	長彡曲辰
蕮	艸臼烏
蹗	足鹿
貾	貝氏丶
痚	疒耂子
溛	水穴瓜
疀	巛田一彐止
榩	木虎文
笻	竹工卩
靗	青光
攓	扌宀甘八足
靲	革今
麧	來夂乞
瞝	目亠乂凵禸
犥	牛鹿火
瓾	禾女瓦
觾	角燕
羳	羊釆田
韗	㐄口㐄冂車
鷵	尸者鳥
鞪	矛攴革
桏	木工阝
胊	月勹口
藆	艸宀甘八手
豯	豕爪幺大
箈	竹水厶口
郺	多巛口巴
涄	水由丂
鵳	戶月鳥
鶔	矛木鳥
蔰	艸戶口巴
迺	辵西
鶐	辵术鳥
蝆	虫丨羊
蜭	虫𠂊臼
賌	亥貝
瘱	疒大从心
蠤	八酉虫虫
軝	車氏
蹪	足中一貝
郻	目乚巛阝
欨	勹口欠
覢	火火見
窲	穴米斗
翇	羽犬㇕
孈	女山隹内口
鼰	臼釆貝
蘮	艸四厂火火刀
毻	𠂇工月毛
蝔	虫比白
蠗	虫羽隹
銔	金不十
旚	㫃西示
虇	艸弓艸口口隹
鶜	艸矛鳥
蟡	虫爲
襺	衤艸巾糸虫
鰬	魚虎文
蘛	艸甘匚八了月
桙	木厶牛
雓	余隹
讂	言𠂊内目夂
轏	車尸三子
蛵	虫巠
齤	龹齒
酟	酉卜口
嶩	山曲辰
鱋	魚虎业
痻	疒氏日
瓲	瓦屯
霤	雨卯田
祼	示果
踍	足耂子
蹳	足癶弓殳
矎	目𠂊内目夂
餰	食行水
痺	疒卑
蛶	虫爪寸
踙	足耳又
羷	羊亼口口从
窏	穴水丁一
縯	糸寅
証	言正
晋	晉
騣	馬乂凵八夂
惷	廾日心
藱	艸疒鬼
踂	足耳乚
酁	象比象儿丶阝
冮	冫工
羦	羊宀一兀
壾	十豆巨
殔	歹尹⺍
臙	月燕
篲	竹丰丰彐
鴈	厂人鳥
藚	艸士四貝
鷻	鳥京子攴
眦	目止匕
亘	二日
甪	丿用
蔆	艸水土八夂
姪	女至
壼	士冂亞
踫	足並
痴	疒矢口
砲	石勹巳
珮	王凡巾
駮	馬文八
鄻	夫夫車阝
舗	人土口甫
﨑	山立丁口
叙	余又
离	亠乂凵禸
痲	疒术术
綉	糸禾乃
虱	乙丿虫
籥	竹龠
繙	糸釆田
揹	扌北月
滚	水衣公
玅	亠幺少
玆	亠幺亠幺
攷	丂攴
査	木且
昵	日尸匕
屉	尸世
倣	人方攴
觝	角氏丶
蜺	虫臼儿
釬	金干
嬭	女爾
无	無
与	牙一
样	木羊
国	圍玉
吨	口屯
户	戶
巩	工凡
却	去卩
担	扌日一
撑	扌尚手
携	扌隹乃
抬	扌厶口
栀	扌𠂆卩
构	木勹厶
贋	厂人隹貝
医	匚矢
蝎	虫日勹亡
虮	虫几
咏	口永
踪	足宀示
叹	口又
网	网
冈	冂乂
岭	山令
复	𠂉日夂
笋	竹尹
偬	人囪心
众	三人
脚	月去卩
胆	月日一
庄	广土
凉	冫京
决	冫夬
恒	心二日
潜	水夫夫日
汹	水乂凵
袜	衤末
宫	宀呂
幂	冂日大巾
卺	㇕水一卩
异	巳廾
壜	土日雨云
韆	革辵西大巳
苁	艸从
栅	木冊
虬	虫乚
吕	呂
咤	口宀丿七
罎	缶日雨云
秆	禾干
鼹	臼釆日宀女
隽	隹乃
腭	月口口一丂
删	冊刀
胶	月文八
鰌	魚八酉
籼	米山
泞	水宀丁
姗	女冊
耤	耒廿日
耑	山而
苺	艸母
崳	山亼月刀
譆	言十豆口
扰	扌𠂇
芜	艸無
芦	艸戶
碱	石戌口
奋	大田
厩	厂艮旡
