的	白勹丶
嵐	山風
夕	夕
議	言羊手戈
趣	走耳又
杭	木亠几
疾	疒矢
崇	山宀示
婦	女彐冖巾
裕	衤八人口
嘆	口廿口夫
艦	舟臣⺮皿
荒	艹亡川
貞	卜貝
筋	⺮月力
鈴	金人之
帆	巾凡
奎	大土土
駕	力口馬
阻	阝且
享	亠口子
棚	木月月
傲	亻土方攵
欽	金欠
召	刀口
徒	行走
脂	月匕日
競	立口口儿
靖	立丰月
奏	春一大
盲	亡目
姿	冫欠女
賜	貝日勹彡
湧	氵又用力
栽	十戈木
述	之木丶
籠	⺮龍
甫	甫
佑	亻大口
閥	門亻戈
咽	口圍大
袖	衤由
貧	八刀貝
激	氵白方攵
階	阝匕匕白
珊	王周周一
植	木十目乚
占	卜口
鉛	金几口
灘	氵廿夫隹
災	巛火
暢	申日勹彡
詠	言丶水
桐	木冂一口
謙	言䒑刂八
万	一力
織	絲立日戈
蒲	艹氵甫
芽	艹牙
昊	日一大
轟	車車車
碑	石鬼十
燃	火夕犬灬
輔	車甫
暉	日冖車
朴	木卜
碩	石頁
杖	木一乂
謎	言之米
刃	刀丶
墜	阝丷豕土
衡	行𠂊田大
櫻	木貝貝女
窯	穴羊灬
措	扌廿日
眠	目巳七
途	之人禾
叢	业羊耳又
禾	禾
磁	石䒑幺幺
沃	氵丿大
哀	衣口
浸	氵彐冖又
柄	木一冂人
輯	車口耳
凸	圍冂
遼	之大日小
宴	宀日女
堪	土其乚
麟	鹿米夕㐄
祿	示彑水
崩	山月月
醜	酉鬼
革	革
憲	宀丰四心
遺	之中一貝
喚	口𠂊八大
刊	一十刂
裁	十戈衣
郁	大月阝
逝	之扌斤
際	阝夗示
誌	言士心
崖	山厂土土
廉	广䒑刂八
獅	犭丿一巾
鞍	革宀女
墳	土十艹貝
巫	工人人
虞	虎口乚一八
拐	扌口力
築	⺮工凡木
剝	彑水刂
披	扌皮
削	小月刂
悠	亻丨攵心
凹	圍凵
葬	艹一匕艹
侃	亻口川
授	扌爪冖又
卸	牛止卩
頌	八厶頁
慈	䒑幺幺心
纖	絲人非一
馳	馬也
鞭	革亻日乂
危	𠂊厂卩
襲	龍衣
泊	氵白
喉	口亻㇕矢
溶	氵穴人口
