凳	癶几
隙	阝小
姊	女亻
驟	馬乑
莞	艹儿
曆	厂日
伶	亻之
謠	言山
璽	一丶
醃	酉乚
墅	甲土
懵	忄目
碾	石展
鷺	足鳥
鵑	口鳥
脅	力月
榨	木卜
黯	四日
萊	人艹
戚	戊小
怯	忄厶
漠	氵艹
礁	石灬
棵	日木
瞻	目言
脖	月子
襟	衤示
尉	尸寸
雜	亠人
蘋	艹頁
肢	月又
悄	忄月
貯	貝丁
僕	亻羊
禎	礻貝
緬	絲丨
頰	大頁
盔	大皿
睦	目土
炕	火几
鬢	長貝
籲	⺮頁
鯊	氵魚
贖	貝貝
憤	忄十
臍	月川
嶽	山犬
痔	疒寸
烘	火八
鐺	金田
鍛	金殳
薯	艹者
禦	行示
逍	之月
轍	車攵
鐸	金半
邸	氏阝
偃	亻女
熾	火戈
勉	𠂊力
璋	王十
毆	匚殳
咚	口冫
槳	爿木
噹	口田
軀	身口
歉	䒑欠
窘	穴口
驥	馬八
胰	月弓
邇	之乂
岔	八山
纜	絲見
枴	木刀
鑼	金隹
廁	广刂
雛	勹隹
瘟	疒皿
崢	山彐
歧	止又
箋	⺮戈
寮	宀小
駭	馬人
硝	石月
霽	雨川
咖	口力
樵	木灬
糜	广米
瑕	王又
糯	米而
茫	艹亡
噎	口䒑
飼	食口
狹	犭人
霓	雨儿
囤	圍凵
靡	广非
厥	厂欠
凜	冫禾
吱	口又
蛟	虫乂
鋤	金力
誕	言止
瘡	疒人
虜	虎力
夥	日夕
恍	忄尤
糠	米氵
瀛	氵凡
琅	王艮
苓	艹之
橡	木豕
眩	目幺
萃	亠艹
艱	廿艮
貂	豸口
耙	三巴
跋	足丶
踱	足又
恢	忄火
彝	彑艹
綰	絲㠯
磯	石人
旌	方生
踐	足戈
舵	舟匕
廝	广斤
璃	王厶
荻	艹火
懈	忄牛
磐	舟石
盜	氵欠
諱	言㐄
庶	广灬
癬	疒羊
釜	八丷
騫	宀馬
釐	二二
淋	木氵
匾	匚艹
湍	氵而
恃	忄寸
頹	禾頁
搔	扌虫
矇	目豕
縈	火絲
嬪	女貝
羈	四馬
屹	山乙
燄	𠂊火
甦	一生
熹	士灬
鵲	廿鳥
鑰	金艹
蹈	足臼
秧	禾大
狸	犭二
襠	衤田
毗	田匕
炬	火㇕
曖	日夂
鰭	魚日
赦	土攵
斟	其十
匿	匚口
剔	日刂
癸	癶大
緞	絲殳
顱	虎頁
噤	口示
弒	乂工
諭	言刂
甕	亠瓦
噩	王口
鬚	長頁
蟀	虫艹
筷	⺮大
詭	言巳
滔	氵臼
姣	女乂
丐	一乚
柯	木丁
硃	石小
敝	水攵
疹	疒彡
涕	氵亻
瑣	王貝
羚	羊之
墟	土业
蹙	戊足
頑	二頁
氖	气丿
琉	王川
抒	扌丨
酌	酉丶
濛	氵豕
殖	一且
眶	目王
稼	禾豕
莓	艹母
祗	礻丶
秒	禾小
褂	衤卜
叟	臼又
墾	豸土
曳	日丿
羲	羊戈
梁	氵刀
軾	車工
蛹	虫用
儷	亻鹿
嘮	口火
籮	⺮隹
熨	尸火
犀	尸牛
摯	土手
褶	衤白
髻	長口
嘶	口斤
昀	日冫
卹	丿卩
競	口儿
萎	艹女
栩	木习
嗡	口习
妤	女丨
訟	言厶
燬	火殳
囑	口虫
篷	⺮丰
聆	耳之
騁	馬了
嗑	口皿
稟	亠禾
碌	石水
燴	火日
曙	日者
稽	禾日
偎	亻展
敞	小攵
嬴	亡凡
祚	礻卜
觴	𠂊彡
壑	卜土
峨	山戈
